x,y,y1,y2,y3,y4,y5,,
0.00 ,-1.08 ,-0.44 ,1.17 ,0,0,0,0,
0.03 ,-1.00 ,-0.41 ,1.08 ,0,0,0,0,
0.07 ,-0.96 ,-0.41 ,1.04 ,0,0,0,0,
0.10 ,-0.94 ,-0.38 ,1.02 ,0,0,0,0,
0.13 ,-0.93 ,-0.37 ,1.00 ,0,0,0,0,
0.17 ,-0.91 ,-0.38 ,0.99 ,0,0,0,0,
0.20 ,-0.91 ,-0.38 ,0.99 ,0,0,0,0,
0.23 ,-0.93 ,-0.39 ,1.01 ,0,0,0,0,
0.27 ,-0.91 ,-0.38 ,0.99 ,0,0,0,0,
0.30 ,-0.93 ,-0.38 ,1.00 ,0,0,0,0,
0.33 ,-0.93 ,-0.38 ,1.00 ,0,0,0,0,
0.37 ,-0.91 ,-0.37 ,0.98 ,0,0,0,0,
0.40 ,-0.93 ,-0.35 ,0.99 ,0,0,0,0,
0.43 ,-0.73 ,-0.31 ,0.79 ,0.00 ,0.00 ,0.00 ,,
0.47 ,-0.30 ,-0.17 ,0.34 ,-0.65 ,-0.22 ,0.68 ,,
0.50 ,-0.08 ,-0.06 ,0.10 ,-0.77 ,-0.22 ,0.80 ,,
0.53 ,-0.17 ,-0.11 ,0.20 ,-0.73 ,-0.25 ,0.77 ,,
0.57 ,-0.20 ,-0.14 ,0.24 ,-0.66 ,-0.24 ,0.70 ,,
0.60 ,-0.17 ,-0.11 ,0.20 ,-0.56 ,-0.18 ,0.59 ,,
0.63 ,-0.20 ,-0.13 ,0.23 ,-0.58 ,-0.21 ,0.61 ,,
0.67 ,-0.22 ,-0.14 ,0.27 ,-0.59 ,-0.22 ,0.63 ,,
0.70 ,-0.20 ,-0.10 ,0.22 ,-0.59 ,-0.18 ,0.62 ,,
0.73 ,-0.18 ,-0.10 ,0.21 ,-0.56 ,-0.18 ,0.59 ,,
0.77 ,-0.18 ,-0.13 ,0.22 ,-0.56 ,-0.18 ,0.59 ,,
0.80 ,-0.18 ,-0.11 ,0.21 ,-0.58 ,-0.18 ,0.60 ,,
0.83 ,-0.18 ,-0.13 ,0.22 ,-0.58 ,-0.22 ,0.62 ,,
0.87 ,-0.17 ,-0.11 ,0.20 ,-0.56 ,-0.21 ,0.60 ,,
0.90 ,-0.15 ,-0.10 ,0.18 ,-0.58 ,-0.21 ,0.61 ,,
0.93 ,-0.17 ,-0.10 ,0.20 ,-0.56 ,-0.20 ,0.60 ,,
0.97 ,-0.20 ,-0.10 ,0.22 ,-0.53 ,-0.20 ,0.57 ,,
1.00 ,-0.18 ,-0.11 ,0.21 ,-0.55 ,-0.17 ,0.57 ,,
1.03 ,-0.18 ,-0.10 ,0.21 ,-0.53 ,-0.14 ,0.55 ,,
1.07 ,-0.18 ,-0.11 ,0.21 ,-0.55 ,-0.20 ,0.58 ,,
1.10 ,-0.15 ,-0.13 ,0.20 ,-0.55 ,-0.20 ,0.58 ,,
1.13 ,-0.14 ,-0.10 ,0.17 ,-0.52 ,-0.15 ,0.54 ,,
1.17 ,-0.17 ,-0.08 ,0.19 ,-0.55 ,-0.17 ,0.57 ,,
1.20 ,-0.15 ,-0.08 ,0.18 ,-0.53 ,-0.20 ,0.57 ,,
1.23 ,-0.14 ,-0.10 ,0.17 ,-0.52 ,-0.18 ,0.55 ,,
1.27 ,-0.17 ,-0.10 ,0.20 ,-0.53 ,-0.18 ,0.56 ,,
1.30 ,-0.15 ,-0.13 ,0.20 ,-0.55 ,-0.18 ,0.58 ,,
1.33 ,-0.15 ,-0.13 ,0.20 ,-0.52 ,-0.15 ,0.54 ,,
1.37 ,-0.11 ,-0.07 ,0.13 ,-0.49 ,-0.17 ,0.52 ,,
1.40 ,-0.15 ,-0.11 ,0.19 ,-0.53 ,-0.18 ,0.56 ,,
1.43 ,-0.18 ,-0.10 ,0.21 ,-0.53 ,-0.20 ,0.57 ,,
1.47 ,-0.11 ,-0.06 ,0.13 ,-0.49 ,-0.18 ,0.52 ,,
1.50 ,-0.11 ,-0.08 ,0.14 ,-0.49 ,-0.14 ,0.51 ,,
1.53 ,-0.11 ,-0.08 ,0.14 ,-0.55 ,-0.18 ,0.58 ,,
1.57 ,-0.14 ,-0.10 ,0.17 ,-0.49 ,-0.20 ,0.53 ,,
1.60 ,-0.15 ,-0.07 ,0.17 ,-0.48 ,-0.17 ,0.51 ,,
1.63 ,-0.14 ,-0.07 ,0.16 ,-0.51 ,-0.15 ,0.53 ,,
1.67 ,-0.13 ,-0.08 ,0.15 ,-0.49 ,-0.15 ,0.52 ,,
