x,y
0.00 ,0.19
0.03 ,0.17
0.07 ,0.17
0.10 ,0.16
0.13 ,0.16
0.17 ,0.16
0.20 ,0.16
0.23 ,0.16
0.27 ,0.16
0.30 ,0.16
0.33 ,0.16
0.37 ,0.16
0.40 ,0.16
0.43 ,
0.47 ,
0.50 ,0.14
0.53 ,0.16
0.57 ,0.15
0.60 ,0.13
0.63 ,0.13
0.67 ,0.14
0.70 ,0.13
0.73 ,0.13
0.77 ,0.13
0.80 ,0.13
0.83 ,0.13
0.87 ,0.13
0.90 ,0.13
0.93 ,0.13
0.97 ,0.13
1.00 ,0.13
1.03 ,0.12
1.07 ,0.13
1.10 ,0.12
1.13 ,0.11
1.17 ,0.12
1.20 ,0.12
1.23 ,0.11
1.27 ,0.12
1.30 ,0.12
1.33 ,0.12
1.37 ,0.10
1.40 ,0.12
1.43 ,0.12
1.47 ,0.10
1.50 ,0.10
1.53 ,0.11
1.57 ,0.11
1.60 ,0.11
1.63 ,0.11
1.67 ,0.11
